rooms,area_m2,floor_current,floor_total,price,city,district,building_type
4,105,9,17,580,Xırdalan,Xırdalan,Teze tikili
1,50,17,17,549,Bakı,20 Yanvar m.,Teze tikili
3,80,3,5,699,Bakı,Gənclik m.,Kohne tikili
2,50,1,2,800,Bakı,Nizami m.,Kohne tikili
3,90,9,12,750,Bakı,Koroğlu m.,Teze tikili
3,60,7,9,600,Bakı,Neftçilər m.,Kohne tikili
2,85,9,14,700,Bakı,8 Noyabr m.,Teze tikili
2,71,5,16,650,Bakı,İnşaatçılar m.,Teze tikili
2,70,2,9,649,Bakı,Yeni Yasamal q.,Kohne tikili
2,65,2,5,600,Bakı,Gənclik m.,Kohne tikili
1,40,12,21,550,Bakı,20 Yanvar m.,Teze tikili
2,60,11,18,600,Bakı,Neftçilər m.,Teze tikili
2,70,13,20,850,Bakı,Elmlər Akademiyası m.,Teze tikili
2,90,7,16,700,Bakı,Memar Əcəmi m.,Teze tikili
3,95,1,9,700,Bakı,Əhmədli m.,Kohne tikili
2,50,5,9,480,Bakı,9-cu mikrorayon q.,Kohne tikili
3,65,5,9,500,Bakı,Əhmədli m.,Kohne tikili
2,50,3,5,370,Bakı,8 Noyabr m.,Kohne tikili
3,70,4,12,700,Bakı,Badamdar q.,Teze tikili
3,120,5,17,850,Bakı,Həzi Aslanov m.,Teze tikili
3,127,10,13,850,Bakı,Neftçilər m.,Teze tikili
2,50,1,2,800,Bakı,Sahil m.,Kohne tikili
3,70,1,9,500,Bakı,Həzi Aslanov m.,Kohne tikili
2,105,15,17,900,Bakı,Nəsimi r.,Teze tikili
3,150,11,17,900,Bakı,Nəsimi r.,Teze tikili
2,70,10,15,600,Bakı,Həzi Aslanov m.,Teze tikili
3,125,10,17,750,Bakı,Səbail r.,Teze tikili
2,70,2,5,699,Bakı,Elmlər Akademiyası m.,Kohne tikili
2,82,18,21,850,Bakı,Nəsimi r.,Teze tikili
2,50,11,16,799,Bakı,Gənclik m.,Teze tikili
2,43,8,9,400,Bakı,Masazır q.,Kohne tikili
2,60,7,10,750,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,100,15,18,999,Bakı,Nəriman Nərimanov m.,Teze tikili
2,55,6,14,650,Bakı,Yeni Yasamal q.,Teze tikili
2,65,3,16,800,Bakı,Şah İsmayıl Xətai m.,Teze tikili
2,100,9,18,680,Bakı,Qara Qarayev m.,Teze tikili
3,60,3,5,700,Bakı,28 May m.,Kohne tikili
1,50,4,9,400,Bakı,Yeni Günəşli q.,Kohne tikili
2,60,9,15,600,Sumqayıt,Sumqayıt,Teze tikili
2,110,6,17,650,Bakı,Əhmədli m.,Teze tikili
2,50,10,17,650,Bakı,İnşaatçılar m.,Teze tikili
3,80,2,9,900,Bakı,Nəriman Nərimanov m.,Kohne tikili
2,55,3,17,850,Bakı,Yasamal r.,Teze tikili
1,44,2,7,500,Bakı,Yeni Günəşli q.,Kohne tikili
2,60,3,3,700,Bakı,Nərimanov r.,Kohne tikili
