rooms,area_m2,floor_current,floor_total,price,district,floor_ratio,building_type_enc,is_baku,district_freq,district_target_enc
4,105,9,17,580,Xırdalan,0.5294117647058824,1,0,334,459.20059880239523
1,50,17,17,549,20 Yanvar m.,1.0,1,1,620,771.0661290322581
3,80,3,5,699,Gənclik m.,0.6,0,1,521,966.3109404990403
2,50,1,2,800,Nizami m.,0.5,0,1,752,1187.590425531915
3,90,9,12,750,Koroğlu m.,0.75,1,1,43,915.5813953488372
3,60,7,9,600,Neftçilər m.,0.7777777777777778,0,1,246,652.0853658536586
2,85,9,14,700,8 Noyabr m.,0.6428571428571429,1,1,624,1178.1826923076924
2,71,5,16,650,İnşaatçılar m.,0.3125,1,1,636,727.9591194968554
2,70,2,9,649,Yeni Yasamal q.,0.2222222222222222,0,1,159,671.3647798742138
2,65,2,5,600,Gənclik m.,0.4,0,1,521,966.3109404990403
1,40,12,21,550,20 Yanvar m.,0.5714285714285714,1,1,620,771.0661290322581
2,60,11,18,600,Neftçilər m.,0.6111111111111112,1,1,246,652.0853658536586
2,70,13,20,850,Elmlər Akademiyası m.,0.65,1,1,662,1093.358006042296
2,90,7,16,700,Memar Əcəmi m.,0.4375,1,1,410,626.4536585365854
3,95,1,9,700,Əhmədli m.,0.1111111111111111,0,1,217,630.6866359447005
2,50,5,9,480,9-cu mikrorayon q.,0.5555555555555556,0,1,34,562.3823529411765
3,65,5,9,500,Əhmədli m.,0.5555555555555556,0,1,217,630.6866359447005
2,50,3,5,370,8 Noyabr m.,0.6,0,1,624,1178.1826923076924
3,70,4,12,700,Badamdar q.,0.3333333333333333,1,1,77,881.1428571428571
3,120,5,17,850,Həzi Aslanov m.,0.29411764705882354,1,1,409,667.4449877750611
3,127,10,13,850,Neftçilər m.,0.7692307692307693,1,1,246,652.0853658536586
2,50,1,2,800,Sahil m.,0.5,0,1,278,1223.8021582733813
3,70,1,9,500,Həzi Aslanov m.,0.1111111111111111,0,1,409,667.4449877750611
2,105,15,17,900,Nəsimi r.,0.8823529411764706,1,1,739,1119.722598105548
3,150,11,17,900,Nəsimi r.,0.6470588235294118,1,1,739,1119.722598105548
2,70,10,15,600,Həzi Aslanov m.,0.6666666666666666,1,1,409,667.4449877750611
3,125,10,17,750,Səbail r.,0.5882352941176471,1,1,108,1204.2962962962963
2,70,2,5,699,Elmlər Akademiyası m.,0.4,0,1,662,1093.358006042296
2,82,18,21,850,Nəsimi r.,0.8571428571428571,1,1,739,1119.722598105548
2,50,11,16,799,Gənclik m.,0.6875,1,1,521,966.3109404990403
2,43,8,9,400,Masazır q.,0.8888888888888888,0,1,95,389.6421052631579
2,60,7,10,750,Nəriman Nərimanov m.,0.7,0,1,1211,946.3137902559868
2,100,15,18,999,Nəriman Nərimanov m.,0.8333333333333334,1,1,1211,946.3137902559868
2,55,6,14,650,Yeni Yasamal q.,0.42857142857142855,1,1,159,671.3647798742138
2,65,3,16,800,Şah İsmayıl Xətai m.,0.1875,1,1,1078,1210.7810760667903
2,100,9,18,680,Qara Qarayev m.,0.5,1,1,322,761.6521739130435
3,60,3,5,700,28 May m.,0.6,0,1,1066,1281.5741088180112
1,50,4,9,400,Yeni Günəşli q.,0.4444444444444444,0,1,50,473.68
2,60,9,15,600,Sumqayıt,0.6,1,0,142,499.78169014084506
2,110,6,17,650,Əhmədli m.,0.35294117647058826,1,1,217,630.6866359447005
2,50,10,17,650,İnşaatçılar m.,0.5882352941176471,1,1,636,727.9591194968554
3,80,2,9,900,Nəriman Nərimanov m.,0.2222222222222222,0,1,1211,946.3137902559868
2,55,3,17,850,Yasamal r.,0.17647058823529413,1,1,180,888.6555555555556
1,44,2,7,500,Yeni Günəşli q.,0.2857142857142857,0,1,50,473.68
2,60,3,3,700,Nərimanov r.,1.0,0,1,515,1025.102912621359
