rooms,area_m2,floor_current,floor_total,location,price
4,105,9,17,"Elan №5746764 - Xırdalan, Xırdalan, 4 otaqlı, 105 m², 9/17 mərtəbə",580
1,50,17,17,"Elan №5752792 - Bakı, 20 Yanvar m., 1 otaqlı, 50 m², 17/17 mərtəbə",549
3,80,3,5,"Elan №5753561 - Bakı, Gənclik m., 3 otaqlı, 80 m², 3/5 mərtəbə",699
2,50,1,2,"Elan №5754424 - Bakı, Nizami m., 2 otaqlı, 50 m², 1/2 mərtəbə",800
3,90,9,12,"Elan №5754425 - Bakı, Koroğlu m., 3 otaqlı, 90 m², 9/12 mərtəbə",750
3,60,7,9,"Elan №5754423 - Bakı, Neftçilər m., 3 otaqlı, 60 m², 7/9 mərtəbə",600
3,80,1,2,"Elan №5741506 - Bakı, Əhmədli m., 3 otaqlı, 80 m², 1/2 mərtəbə",138
2,85,9,14,"Elan №5749996 - Bakı, 8 Noyabr m., 2 otaqlı, 85 m², 9/14 mərtəbə",700
2,71,5,16,"Elan №5724191 - Bakı, İnşaatçılar m., 2 otaqlı, 71 m², 5/16 mərtəbə",650
2,70,2,9,"Elan №5754418 - Bakı, Yeni Yasamal q., 2 otaqlı, 70 m², 2/9 mərtəbə",649
2,4,18,20,"Elan №5747434 - Bakı, 20 Yanvar m., 2 otaqlı, 53.4 m², 18/20 mərtəbə",650
2,65,2,5,"Elan №5754409 - Bakı, Gənclik m., 2 otaqlı, 65 m², 2/5 mərtəbə",600
1,40,12,21,"Elan №5751035 - Bakı, 20 Yanvar m., 1 otaqlı, 40 m², 12/21 mərtəbə",550
2,60,11,18,"Elan №5696231 - Bakı, Neftçilər m., 2 otaqlı, 60 m², 11/18 mərtəbə",600
2,70,13,20,"Elan №5741793 - Bakı, Elmlər Akademiyası m., 2 otaqlı, 70 m², 13/20 mərtəbə",850
2,90,7,16,"Elan №5751617 - Bakı, Memar Əcəmi m., 2 otaqlı, 90 m², 7/16 mərtəbə",700
3,95,1,9,"Elan №5754402 - Bakı, Əhmədli m., 3 otaqlı, 95 m², 1/9 mərtəbə",700
2,50,5,9,"Elan №5249950 - Bakı, 9-cu mikrorayon q., 2 otaqlı, 50 m², 5/9 mərtəbə",480
3,65,5,9,"Elan №5465730 - Bakı, Əhmədli m., 3 otaqlı, 65 m², 5/9 mərtəbə",500
2,50,3,5,"Elan №5754396 - Bakı, 8 Noyabr m., 2 otaqlı, 50 m², 3/5 mərtəbə",370
3,70,4,12,"Elan №5231244 - Bakı, Badamdar q., 3 otaqlı, 70 m², 4/12 mərtəbə",700
3,120,5,17,"Elan №5483935 - Bakı, Həzi Aslanov m., 3 otaqlı, 120 m², 5/17 mərtəbə",850
3,127,10,13,"Elan №5675505 - Bakı, Neftçilər m., 3 otaqlı, 127 m², 10/13 mərtəbə",850
2,50,1,2,"Elan №5754389 - Bakı, Sahil m., 2 otaqlı, 50 m², 1/2 mərtəbə",800
3,70,1,9,"Elan №5745051 - Bakı, Həzi Aslanov m., 3 otaqlı, 70 m², 1/9 mərtəbə",500
2,105,15,17,"Elan №5625437 - Bakı, Nəsimi r., 2 otaqlı, 105 m², 15/17 mərtəbə",900
3,150,11,17,"Elan №5716141 - Bakı, Nəsimi r., 3 otaqlı, 150 m², 11/17 mərtəbə",900
2,70,10,15,"Elan №5751959 - Bakı, Həzi Aslanov m., 2 otaqlı, 70 m², 10/15 mərtəbə",600
3,125,10,17,"Elan №5754380 - Bakı, Səbail r., 3 otaqlı, 125 m², 10/17 mərtəbə",750
2,70,2,5,"Elan №5699575 - Bakı, Elmlər Akademiyası m., 2 otaqlı, 70 m², 2/5 mərtəbə",699
2,82,18,21,"Elan №5754382 - Bakı, Nəsimi r., 2 otaqlı, 82 m², 18/21 mərtəbə",850
2,50,11,16,"Elan №5244084 - Bakı, Gənclik m., 2 otaqlı, 50 m², 11/16 mərtəbə",799
2,43,8,9,"Elan №5717658 - Bakı, Masazır q., 2 otaqlı, 43 m², 8/9 mərtəbə",400
2,60,7,10,"Elan №5754378 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 60 m², 7/10 mərtəbə",750
2,100,15,18,"Elan №5733269 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 100 m², 15/18 mərtəbə",999
2,55,6,14,"Elan №5754365 - Bakı, Yeni Yasamal q., 2 otaqlı, 55 m², 6/14 mərtəbə",650
2,65,3,16,"Elan №5754364 - Bakı, Şah İsmayıl Xətai m., 2 otaqlı, 65 m², 3/16 mərtəbə",800
2,100,9,18,"Elan №5642545 - Bakı, Qara Qarayev m., 2 otaqlı, 100 m², 9/18 mərtəbə",680
3,60,3,5,"Elan №5724366 - Bakı, 28 May m., 3 otaqlı, 60 m², 3/5 mərtəbə",700
1,50,4,9,"Elan №5754356 - Bakı, Yeni Günəşli q., 1 otaqlı, 50 m², 4/9 mərtəbə",400
2,60,9,15,"Elan №5629949 - Sumqayıt, Sumqayıt, 2 otaqlı, 60 m², 9/15 mərtəbə",600
2,110,6,17,"Elan №5735716 - Bakı, Əhmədli m., 2 otaqlı, 110 m², 6/17 mərtəbə",650
2,50,10,17,"Elan №5752526 - Bakı, İnşaatçılar m., 2 otaqlı, 50 m², 10/17 mərtəbə",650
3,80,2,9,"Elan №5709416 - Bakı, Nəriman Nərimanov m., 3 otaqlı, 80 m², 2/9 mərtəbə",900
2,55,3,17,"Elan №5721609 - Bakı, Yasamal r., 2 otaqlı, 55 m², 3/17 mərtəbə",850
1,44,2,7,"Elan №5754346 - Bakı, Yeni Günəşli q., 1 otaqlı, 44 m², 2/7 mərtəbə",500
2,60,3,3,"Elan №5743329 - Bakı, Nərimanov r., 2 otaqlı, 60 m², 3/3 mərtəbə",700
2,65,10,18,"Elan №5744276 - Bakı, Elmlər Akademiyası m., 2 otaqlı, 65 m², 10/18 mərtəbə",800
3,90,3,9,"Elan №5754342 - Bakı, Xalqlar Dostluğu m., 3 otaqlı, 90 m², 3/9 mərtəbə",650
3,70,3,9,"Elan №5754167 - Bakı, Xalqlar Dostluğu m., 3 otaqlı, 70 m², 3/9 mərtəbə",650
2,50,12,18,"Elan №5753024 - Bakı, Əhmədli m., 2 otaqlı, 50 m², 12/18 mərtəbə",600
3,74,2,6,"Elan №5281100 - Bakı, Masazır q., 3 otaqlı, 74 m², 2/6 mərtəbə",450
3,80,3,10,"Elan №5713503 - Bakı, 8 Noyabr m., 3 otaqlı, 80 m², 3/10 mərtəbə",250
2,60,3,4,"Elan №5727941 - Bakı, Sahil m., 2 otaqlı, 60 m², 3/4 mərtəbə",800
2,64,11,16,"Elan №5749345 - Bakı, Gənclik m., 2 otaqlı, 64 m², 11/16 mərtəbə",750
2,54,4,5,"Elan №5749413 - Bakı, Memar Əcəmi m., 2 otaqlı, 54 m², 4/5 mərtəbə",649
3,110,9,11,"Elan №5754324 - Bakı, Nəsimi m., 3 otaqlı, 110 m², 9/11 mərtəbə",950
2,76,17,18,"Elan №5625581 - Bakı, Memar Əcəmi m., 2 otaqlı, 76 m², 17/18 mərtəbə",700
3,75,3,9,"Elan №5754319 - Bakı, Xalqlar Dostluğu m., 3 otaqlı, 75 m², 3/9 mərtəbə",650
3,100,5,20,"Elan №5744337 - Bakı, 20 Yanvar m., 3 otaqlı, 100 m², 5/20 mərtəbə",899
2,55,4,21,"Elan №5738154 - Bakı, 20 Yanvar m., 2 otaqlı, 55 m², 4/21 mərtəbə",650
2,60,12,16,"Elan №3506869 - Bakı, Şah İsmayıl Xətai m., 2 otaqlı, 60 m², 12/16 mərtəbə",990
1,25,11,19,"Elan №5591805 - Bakı, 28 May m., 1 otaqlı, 25 m², 11/19 mərtəbə",500
3,75,5,5,"Elan №5750590 - Bakı, İçəri Şəhər m., 3 otaqlı, 75 m², 5/5 mərtəbə",750
2,90,16,17,"Elan №5720052 - Bakı, 20 Yanvar m., 2 otaqlı, 90 m², 16/17 mərtəbə",550
2,73,15,19,"Elan №5749403 - Bakı, Qara Qarayev m., 2 otaqlı, 73 m², 15/19 mərtəbə",698
2,50,17,17,"Elan №5748217 - Bakı, Nizami r., 2 otaqlı, 50 m², 17/17 mərtəbə",600
1,46,5,7,"Elan №5078054 - Bakı, Sea Breeze q., 1 otaqlı, 46 m², 5/7 mərtəbə",900
2,90,10,17,"Elan №5746470 - Bakı, 9-cu mikrorayon q., 2 otaqlı, 90 m², 10/17 mərtəbə",600
1,35,2,5,"Elan №5754298 - Bakı, Memar Əcəmi m., 1 otaqlı, 35 m², 2/5 mərtəbə",450
2,45,3,5,"Elan №5754295 - Bakı, Elmlər Akademiyası m., 2 otaqlı, 45 m², 3/5 mərtəbə",200
2,55,2,3,"Elan №5744205 - Bakı, Novxanı q., 2 otaqlı, 55 m², 2/3 mərtəbə",200
2,3,2,14,"Elan №5754294 - Bakı, Saray q., 2 otaqlı, 79.3 m², 2/14 mərtəbə",400
3,130,12,16,"Elan №5754293 - Bakı, Azadlıq Prospekti m., 3 otaqlı, 130 m², 12/16 mərtəbə",900
3,70,3,9,"Elan №5754292 - Bakı, Xalqlar Dostluğu m., 3 otaqlı, 70 m², 3/9 mərtəbə",650
2,110,2,12,"Elan №5686059 - Xırdalan, Xırdalan, 2 otaqlı, 110 m², 2/12 mərtəbə",550
2,65,2,20,"Elan №5744283 - Bakı, 20 Yanvar m., 2 otaqlı, 65 m², 2/20 mərtəbə",650
2,60,13,19,"Elan №5744212 - Bakı, Həzi Aslanov m., 2 otaqlı, 60 m², 13/19 mərtəbə",750
2,66,13,14,"Elan №5742249 - Bakı, İnşaatçılar m., 2 otaqlı, 66 m², 13/14 mərtəbə",700
3,70,1,3,"Elan №5754281 - Bakı, Elmlər Akademiyası m., 3 otaqlı, 70 m², 1/3 mərtəbə",650
2,55,6,20,"Elan №5713016 - Bakı, 20 Yanvar m., 2 otaqlı, 55 m², 6/20 mərtəbə",750
3,95,3,4,"Elan №5752806 - Bakı, Nəsimi r., 3 otaqlı, 95 m², 3/4 mərtəbə",600
2,65,4,16,"Elan №5729668 - Bakı, İnşaatçılar m., 2 otaqlı, 65 m², 4/16 mərtəbə",600
2,45,3,5,"Elan №5754275 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 45 m², 3/5 mərtəbə",650
3,122,6,8,"Elan №5720477 - Bakı, Nəriman Nərimanov m., 3 otaqlı, 122 m², 6/8 mərtəbə",800
2,98,7,17,"Elan №5754273 - Bakı, Azadlıq Prospekti m., 2 otaqlı, 98 m², 7/17 mərtəbə",720
2,45,1,1,"Elan №5754272 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 45 m², 1/1 mərtəbə",500
2,48,10,15,"Elan №5754269 - Bakı, Nəriman Nərimanov m., 2 otaqlı, 48 m², 10/15 mərtəbə",500
3,96,15,17,"Elan №5744960 - Xırdalan, Xırdalan, 3 otaqlı, 96 m², 15/17 mərtəbə",450
2,40,6,16,"Elan №5754262 - Bakı, Yasamal r., 2 otaqlı, 40 m², 6/16 mərtəbə",750
3,112,5,20,"Elan №5719409 - Bakı, Bakıxanov q., 3 otaqlı, 112 m², 5/20 mərtəbə",550
2,52,16,20,"Elan №5456887 - Bakı, 20 Yanvar m., 2 otaqlı, 52 m², 16/20 mərtəbə",650
2,70,14,18,"Elan №5473808 - Bakı, Nəsimi m., 2 otaqlı, 70 m², 14/18 mərtəbə",650
2,65,4,19,"Elan №5737770 - Bakı, İnşaatçılar m., 2 otaqlı, 65 m², 4/19 mərtəbə",550
1,44,11,17,"Elan №5747787 - Bakı, Azadlıq Prospekti m., 1 otaqlı, 44 m², 11/17 mərtəbə",600
3,80,2,9,"Elan №5708447 - Bakı, Nərimanov r., 3 otaqlı, 80 m², 2/9 mərtəbə",800
2,85,5,16,"Elan №5754253 - Bakı, 8-ci kilometr q., 2 otaqlı, 85 m², 5/16 mərtəbə",670
2,60,15,16,"Elan №5706177 - Xırdalan, Xırdalan, 2 otaqlı, 60 m², 15/16 mərtəbə",500
3,100,9,16,"Elan №5677228 - Bakı, Nəsimi m., 3 otaqlı, 100 m², 9/16 mərtəbə",850
2,50,8,16,"Elan №5754249 - Bakı, İnşaatçılar m., 2 otaqlı, 50 m², 8/16 mərtəbə",700
2,65,4,9,"Elan №5723099 - Bakı, Azadlıq Prospekti m., 2 otaqlı, 65 m², 4/9 mərtəbə",550
2,44,2,5,"Elan №5623726 - Bakı, Nəsimi r., 2 otaqlı, 44 m², 2/5 mərtəbə",750
2,5,7,9,"Elan №5071778 - Bakı, Yasamal q., 2 otaqlı, 60.5 m², 7/9 mərtəbə",700
3,85,2,5,"Elan №5544677 - Bakı, 28 May m., 3 otaqlı, 85 m², 2/5 mərtəbə",900
2,50,4,5,"Elan №5748167 - Bakı, Nizami m., 2 otaqlı, 50 m², 4/5 mərtəbə",700
3,75,3,9,"Elan №5754233 - Bakı, Xalqlar Dostluğu m., 3 otaqlı, 75 m², 3/9 mərtəbə",650
2,65,4,5,"Elan №5754226 - Bakı, İnşaatçılar m., 2 otaqlı, 65 m², 4/5 mərtəbə",160
2,80,1,5,"Elan №5634142 - Bakı, 28 May m., 2 otaqlı, 80 m², 1/5 mərtəbə",999
2,75,13,16,"Elan №5754223 - Bakı, Yeni Yasamal q., 2 otaqlı, 75 m², 13/16 mərtəbə",280
2,55,3,5,"Elan №5754222 - Bakı, Elmlər Akademiyası m., 2 otaqlı, 55 m², 3/5 mərtəbə",150
2,60,12,20,"Elan №5754216 - Bakı, 20 Yanvar m., 2 otaqlı, 60 m², 12/20 mərtəbə",600
3,70,8,18,"Elan №5754213 - Bakı, Memar Əcəmi m., 3 otaqlı, 70 m², 8/18 mərtəbə",800
2,65,3,8,"Elan №5754212 - Bakı, Qara Qarayev m., 2 otaqlı, 65 m², 3/8 mərtəbə",600
2,50,12,16,"Elan №5654008 - Bakı, Əhmədli m., 2 otaqlı, 50 m², 12/16 mərtəbə",600
3,130,2,16,"Elan №5749545 - Bakı, İnşaatçılar m., 3 otaqlı, 130 m², 2/16 mərtəbə",230
2,77,8,16,"Elan №5454056 - Bakı, İnşaatçılar m., 2 otaqlı, 77 m², 8/16 mərtəbə",700
2,50,7,16,"Elan №5751695 - Bakı, 20 Yanvar m., 2 otaqlı, 50 m², 7/16 mərtəbə",650
2,49,3,5,"Elan №5738525 - Bakı, Memar Əcəmi m., 2 otaqlı, 49 m², 3/5 mərtəbə",430
